correct,eye_used,file,nGap,nSacc,n_blink,outlier,resp,rt,scene,sceneNr,target,trialId,trialType,xTarget,yTarget
TIMEOUT,undefined,fgap08.asc,0,77,0,0,TIMEOUT,20000,117.0,117,z.txt,0,control,735,429
TIMEOUT,undefined,fgap08.asc,0,71,1,0,TIMEOUT,20000,113.0,113,z.txt,1,control,1204,363
TIMEOUT,undefined,fgap08.asc,0,75,0,0,TIMEOUT,20000,160.0,160,z.txt,2,control,124,754
TIMEOUT,undefined,fgap08.asc,0,71,0,0,TIMEOUT,20000,130.0,130,m.txt,3,control,20,274
TIMEOUT,undefined,fgap08.asc,0,75,2,0,TIMEOUT,20000,195.0,195,z.txt,4,control,309,49
,undefined,fgap08.asc,0,0,2,0,,,19.0,19,z.txt,5,gap,891,379
,undefined,fgap08.asc,0,0,3,0,,,40.0,40,z.txt,6,gap,1205,358
,undefined,fgap08.asc,0,0,0,0,,,52.0,52,m.txt,7,gap,1117,166
,undefined,fgap08.asc,0,0,0,0,,,161.0,161,z.txt,8,gap,427,254
,undefined,fgap08.asc,0,0,0,0,,,64.0,64,z.txt,9,gap,444,775
CORRECT,undefined,fgap08.asc,0,14,5,0,z,4844,115.0,115,z.txt,10,control,91,286
CORRECT,undefined,fgap08.asc,0,34,2,0,z,12308,89.0,89,z.txt,11,control,346,587
CORRECT,undefined,fgap08.asc,0,6,0,0,m,2010,73.0,73,m.txt,12,control,635,788
TIMEOUT,undefined,fgap08.asc,0,73,0,0,TIMEOUT,20000,149.0,149,m.txt,13,control,200,415
CORRECT,undefined,fgap08.asc,0,71,2,0,m,19881,141.0,141,m.txt,14,control,289,116
,undefined,fgap08.asc,0,0,0,0,,,104.0,104,m.txt,15,gap,943,79
,undefined,fgap08.asc,0,0,0,0,,,129.0,129,z.txt,16,gap,1222,780
,undefined,fgap08.asc,0,0,1,0,,,38.0,38,z.txt,17,gap,754,358
,undefined,fgap08.asc,0,0,0,0,,,103.0,103,z.txt,18,gap,622,480
,undefined,fgap08.asc,0,0,0,0,,,81.0,81,z.txt,19,gap,323,441
TIMEOUT,undefined,fgap08.asc,0,69,0,0,TIMEOUT,20000,95.0,95,z.txt,20,control,719,168
TIMEOUT,undefined,fgap08.asc,0,70,0,0,TIMEOUT,20000,62.0,62,m.txt,21,control,240,302
TIMEOUT,undefined,fgap08.asc,0,71,0,0,TIMEOUT,20000,21.0,21,z.txt,22,control,83,409
TIMEOUT,undefined,fgap08.asc,0,72,0,0,TIMEOUT,20000,112.0,112,z.txt,23,control,348,830
TIMEOUT,undefined,fgap08.asc,0,73,0,0,TIMEOUT,20000,88.0,88,z.txt,24,control,226,441
,undefined,fgap08.asc,0,0,1,0,,,169.0,169,z.txt,25,gap,140,405
,undefined,fgap08.asc,0,0,1,0,,,101.0,101,m.txt,26,gap,414,499
,undefined,fgap08.asc,0,0,1,0,,,138.0,138,z.txt,27,gap,390,533
,undefined,fgap08.asc,0,0,0,0,,,74.0,74,z.txt,28,gap,230,639
,undefined,fgap08.asc,0,0,2,0,,,136.0,136,m.txt,29,gap,37,407
TIMEOUT,undefined,fgap08.asc,0,69,0,0,TIMEOUT,20000,97.0,97,z.txt,30,control,458,218
TIMEOUT,undefined,fgap08.asc,0,75,0,0,TIMEOUT,20000,3.0,3,z.txt,31,control,1247,644
TIMEOUT,undefined,fgap08.asc,0,67,0,0,TIMEOUT,20000,43.0,43,z.txt,32,control,758,626
CORRECT,undefined,fgap08.asc,0,21,1,0,m,14329,155.0,155,m.txt,33,control,1135,466
CORRECT,undefined,fgap08.asc,0,24,0,0,m,6881,153.0,153,m.txt,34,control,649,123
,undefined,fgap08.asc,0,0,0,0,,,1.0,1,z.txt,35,gap,941,527
,undefined,fgap08.asc,0,0,0,0,,,46.0,46,m.txt,36,gap,1223,420
,undefined,fgap08.asc,0,0,0,0,,,100.0,100,m.txt,37,gap,467,794
,undefined,fgap08.asc,0,0,1,0,,,60.0,60,z.txt,38,gap,444,415
,undefined,fgap08.asc,0,0,0,0,,,54.0,54,z.txt,39,gap,284,188
CORRECT,undefined,fgap08.asc,0,73,0,0,z,18647,24.0,24,z.txt,40,control,569,440
CORRECT,undefined,fgap08.asc,0,11,0,0,m,2530,176.0,176,m.txt,41,control,1003,675
INCORRECT,undefined,fgap08.asc,0,56,0,0,m,16350,27.0,27,z.txt,42,control,641,31
CORRECT,undefined,fgap08.asc,0,9,1,0,z,2711,151.0,151,z.txt,43,control,982,787
TIMEOUT,undefined,fgap08.asc,0,66,0,0,TIMEOUT,20000,80.0,80,z.txt,44,control,73,80
,undefined,fgap08.asc,0,0,0,0,,,111.0,111,z.txt,45,gap,501,242
,undefined,fgap08.asc,0,0,0,0,,,173.0,173,z.txt,46,gap,114,424
,undefined,fgap08.asc,0,0,0,0,,,159.0,159,m.txt,47,gap,191,753
,undefined,fgap08.asc,0,0,0,0,,,147.0,147,z.txt,48,gap,1205,601
,undefined,fgap08.asc,0,0,1,0,,,83.0,83,z.txt,49,gap,843,100
CORRECT,undefined,fgap08.asc,0,19,1,0,m,8251,137.0,137,m.txt,50,control,714,131
CORRECT,undefined,fgap08.asc,0,37,3,0,m,13996,31.0,31,m.txt,51,control,1249,470
CORRECT,undefined,fgap08.asc,0,40,0,0,m,10909,127.0,127,m.txt,52,control,599,82
CORRECT,undefined,fgap08.asc,0,4,0,0,m,1212,140.0,140,m.txt,53,control,630,101
TIMEOUT,undefined,fgap08.asc,0,72,3,0,TIMEOUT,20000,82.0,82,m.txt,54,control,1251,511
,undefined,fgap08.asc,0,0,0,0,,,90.0,90,z.txt,55,gap,695,164
