eye_used,file,image,inst,nGap,nSacc,n_blink,outlier,response,rt,trialId
undefined,12.asc,P002.png,search,0,36,9,0,w,14801,0
undefined,12.asc,P001.png,search,0,37,6,0,timeout,15005,1
undefined,12.asc,F017.png,search,0,44,5,0,timeout,15004,2
undefined,12.asc,S012.png,search,0,49,3,0,timeout,15004,3
undefined,12.asc,F031.png,search,0,45,7,0,timeout,15004,4
undefined,12.asc,S028.png,search,0,46,5,0,timeout,15004,5
undefined,12.asc,F003.png,search,0,46,3,0,timeout,15004,6
undefined,12.asc,F008.png,search,0,41,4,0,timeout,15004,7
undefined,12.asc,S005.png,search,0,38,3,0,timeout,15003,8
undefined,12.asc,S006.png,search,0,40,3,0,timeout,15004,9
undefined,12.asc,F046.png,search,0,49,2,0,timeout,15004,10
undefined,12.asc,S018.png,search,0,42,5,0,timeout,15004,11
undefined,12.asc,F036.png,search,0,48,2,0,timeout,15004,12
undefined,12.asc,F032.png,search,0,44,5,0,timeout,15004,13
undefined,12.asc,F019.png,search,0,41,1,0,timeout,15004,14
undefined,12.asc,F000.png,search,0,44,3,0,timeout,15005,15
undefined,12.asc,F024.png,search,0,49,3,0,timeout,15004,16
undefined,12.asc,F048.png,search,0,49,1,0,timeout,15003,17
undefined,12.asc,S049.png,search,0,47,4,0,timeout,15004,18
undefined,12.asc,S039.png,search,0,30,2,0,w,10599,19
undefined,12.asc,S040.png,search,0,51,1,0,timeout,15004,20
undefined,12.asc,S020.png,search,0,50,0,0,timeout,15004,21
undefined,12.asc,S025.png,search,0,52,1,0,timeout,15004,22
undefined,12.asc,F027.png,search,0,48,2,0,timeout,15003,23
undefined,12.asc,S036.png,search,0,32,1,0,w,10548,24
undefined,12.asc,S046.png,search,0,46,2,0,timeout,15004,25
undefined,12.asc,S042.png,search,0,49,1,0,timeout,15005,26
undefined,12.asc,S031.png,search,0,48,1,0,timeout,15005,27
undefined,12.asc,S010.png,search,0,52,1,0,timeout,15003,28
undefined,12.asc,S021.png,search,0,49,1,0,timeout,15004,29
undefined,12.asc,S041.png,search,0,45,2,0,timeout,15005,30
undefined,12.asc,F044.png,search,0,44,1,0,timeout,15004,31
undefined,12.asc,S022.png,search,0,47,2,0,timeout,15005,32
undefined,12.asc,F006.png,search,0,43,1,0,timeout,15004,33
undefined,12.asc,S027.png,search,0,49,2,0,timeout,15004,34
undefined,12.asc,F011.png,search,0,45,1,0,timeout,15004,35
undefined,12.asc,F023.png,search,0,43,1,0,timeout,15003,36
undefined,12.asc,S047.png,search,0,47,3,0,timeout,15004,37
undefined,12.asc,S009.png,search,0,52,1,0,timeout,15004,38
undefined,12.asc,F040.png,search,0,50,3,0,timeout,15004,39
undefined,12.asc,S014.png,search,0,48,0,0,timeout,15004,40
undefined,12.asc,S013.png,search,0,46,2,0,timeout,15004,41
undefined,12.asc,F012.png,search,0,43,1,0,timeout,15005,42
undefined,12.asc,F026.png,search,0,40,1,0,w,13333,43
undefined,12.asc,F021.png,search,0,26,2,0,timeout,15004,44
undefined,12.asc,F009.png,search,0,48,4,0,timeout,15004,45
undefined,12.asc,S019.png,search,0,49,3,0,timeout,15004,46
undefined,12.asc,F010.png,search,0,47,1,0,timeout,15004,47
undefined,12.asc,S035.png,search,0,14,0,0,;,5666,48
undefined,12.asc,F042.png,search,0,53,0,0,timeout,15005,49
undefined,12.asc,F038.png,search,0,45,1,0,timeout,15004,50
undefined,12.asc,S024.png,search,0,47,0,0,timeout,15004,51
undefined,12.asc,S034.png,search,0,45,2,0,timeout,15005,52
undefined,12.asc,S033.png,search,0,46,0,0,timeout,15004,53
undefined,12.asc,F004.png,search,0,5,1,0,w,1646,54
undefined,12.asc,S003.png,search,0,40,0,0,timeout,15004,55
undefined,12.asc,F028.png,search,0,48,0,0,timeout,15004,56
undefined,12.asc,F035.png,search,0,52,3,0,timeout,15004,57
undefined,12.asc,S008.png,search,0,50,0,0,timeout,15004,58
undefined,12.asc,S000.png,search,0,42,1,0,w,12103,59
undefined,12.asc,F001.png,search,0,41,5,0,timeout,15004,60
undefined,12.asc,F045.png,search,0,49,3,0,timeout,15004,61
undefined,12.asc,F039.png,search,0,50,3,0,timeout,15004,62
undefined,12.asc,S015.png,search,0,50,4,0,timeout,15004,63
undefined,12.asc,F014.png,search,0,48,2,0,timeout,15004,64
undefined,12.asc,F043.png,search,0,53,3,0,timeout,15004,65
undefined,12.asc,S030.png,search,0,51,2,0,timeout,15003,66
undefined,12.asc,F022.png,search,0,47,5,0,timeout,15004,67
undefined,12.asc,S048.png,search,0,23,0,0,;,7823,68
undefined,12.asc,S007.png,search,0,46,1,0,timeout,15004,69
undefined,12.asc,S001.png,search,0,49,2,0,timeout,15004,70
undefined,12.asc,F002.png,search,0,9,0,0,;,3117,71
undefined,12.asc,S038.png,search,0,18,0,0,w,5886,72
undefined,12.asc,S045.png,search,0,50,1,0,timeout,15004,73
undefined,12.asc,S023.png,search,0,48,2,0,timeout,15004,74
undefined,12.asc,F015.png,search,0,45,2,0,timeout,15004,75
undefined,12.asc,S029.png,search,0,47,1,0,timeout,15004,76
undefined,12.asc,F025.png,search,0,4,0,0,w,1950,77
undefined,12.asc,F033.png,search,0,31,1,0,;,11061,78
undefined,12.asc,S002.png,search,0,48,0,0,timeout,15004,79
undefined,12.asc,F020.png,search,0,53,1,0,timeout,15004,80
undefined,12.asc,F018.png,search,0,46,6,0,timeout,15004,81
undefined,12.asc,F013.png,search,0,49,2,0,timeout,15004,82
undefined,12.asc,F029.png,search,0,48,1,0,timeout,15005,83
undefined,12.asc,S017.png,search,0,49,2,0,timeout,15004,84
undefined,12.asc,F037.png,search,0,34,0,0,w,11070,85
undefined,12.asc,F007.png,search,0,48,1,0,timeout,15005,86
undefined,12.asc,S037.png,search,0,16,0,0,w,5312,87
undefined,12.asc,F049.png,search,0,49,1,0,timeout,15005,88
undefined,12.asc,S004.png,search,0,38,4,0,timeout,15004,89
undefined,12.asc,F016.png,search,0,25,1,0,w,9414,90
undefined,12.asc,F030.png,search,0,7,0,0,;,3317,91
undefined,12.asc,S043.png,search,0,49,1,0,timeout,15004,92
undefined,12.asc,F047.png,search,0,34,1,0,;,10759,93
