_debug,_prepare,_run,_timeout,_trialId,acc,accuracy,auto_log,average_response_time,avg_rt,background,bidi,cal_beep,cal_target_size,canvas_backend,cols,column_order,compensation,cond,coordinates,correct,correct_feedback,correct_keyboard_wait,correct_response,count_CHANGELOG,count_Instructions,count_block_loop,count_collect_response,count_correct_feedback,count_dual_instruction_EN,count_dual_instruction_NL,count_dual_response_feedback,count_end_of_experiment_EN,count_end_of_experiment_NL,count_end_of_practice_EN,count_end_of_practice_NL,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_log,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_feedback_count_response,count_form_base,count_get_count_response,count_incorrect_feedback,count_init,count_init_trial,count_keyboard_wait,count_practice_loop,count_response,count_response_question,count_single_feedback,count_single_instruction_EN,count_single_instruction_NL,count_sketchpad,count_suppress_warnings,count_timeout_feedback,count_trial_sequence,custom_cursor,cycles,description,digitCount,duration,expyriment_opengl,eye_used,file,flush,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,form_question,form_text,form_title,form_var,height,img,imgNr,item,keyboard_backend,lang,log_msg,mode,mouse_backend,nGap,nSacc,n_blink,note,offset,ok_text,only_render,order,outlier,practice,press_key,render_only,repeat,repeat_cycle,reset_variables,resp,response,response_correct_feedback,response_feedback_count_response,response_incorrect_feedback,response_keyboard_wait,response_time,response_time_correct_feedback,response_time_feedback_count_response,response_time_incorrect_feedback,response_time_keyboard_wait,response_time_timeout_feedback,response_timeout_feedback,rows,rt,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,scene,sceneNr,search_rt,skip,sound_freq,sound_sample_size,srcFolder,start,start_response_interval,subject_nr,subject_parity,synth_backend,targetDigit,throttle,time_CHANGELOG,time_Instructions,time_block_loop,time_collect_response,time_correct_feedback,time_dual_instruction_EN,time_dual_instruction_NL,time_dual_response_feedback,time_end_of_experiment_EN,time_end_of_experiment_NL,time_end_of_practice_EN,time_end_of_practice_NL,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_log,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback_count_response,time_form_base,time_get_count_response,time_incorrect_feedback,time_init,time_init_trial,time_keyboard_wait,time_practice_loop,time_single_feedback,time_single_instruction_EN,time_single_instruction_NL,time_sketchpad,time_suppress_warnings,time_timeout_feedback,time_trial_sequence,timeout,timeout_feedback,title,tracker_attached,transparent_variables,trialCount,trialId,trialType,voiceInterval,width,xTarget,xpos,yTarget,ypos
no,NA,NA,20000,0,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,0,m,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,You,NA,0,0,0,0,0,2,0,,How,0,0,0,0,0,NA,0,no,NA,Message,1,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,3,NA,legacy,english,NA,NA,xpyriment,0,137,16,NA,NA,NA,NA,NA,0,yes,Press,NA,NA,0,NA,response,m,NA,NA,m,z,23767,NA,NA,23767,5290,NA,NA,NA,40627,NA,NA,legacy,3.0,3,16725,NA,44100,-16,resources/practice,experiment,None,2,even,legacy,3,2,NA,11956254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10559992,12079290,12130398,12089646,NA,NA,10557813,NA,12106631,NA,NA,12074000,NA,NA,12073833,NA,12089781,NA,NA,NA,NA,Too,P0010.4,NA,no,200,0,control,1500,1280,NA,NA,NA,NA
no,NA,NA,20000,1,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,1,m,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,You,NA,0,1,0,0,1,3,0,,How,1,1,1,1,0,NA,1,no,NA,Message,2,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,2,NA,legacy,english,NA,NA,xpyriment,0,78,5,NA,NA,NA,NA,NA,0,yes,Press,NA,NA,0,NA,response,space,space,NA,m,m,8405,8405,NA,23767,1535,NA,NA,NA,20788,NA,NA,legacy,2.0,2,12253,NA,44100,-16,resources/practice,experiment,None,2,even,legacy,4,2,NA,11956254,NA,NA,12155976,NA,NA,NA,NA,NA,NA,NA,NA,10559992,12133215,12164381,12143480,12130747,NA,10557813,NA,12106631,NA,NA,12131679,NA,NA,12131493,NA,12143603,NA,NA,NA,NA,Too,P0010.4,NA,no,200,1,control,1500,1280,NA,NA,NA,NA
no,NA,NA,20000,2,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,dual,relative,INCORRECT,You,1,z,0,0,0,2,0,2,2,2,0,0,0,0,0,0,2,2,2,2,You,0,0,2,0,0,2,4,0,1,How,2,2,2,2,0,NA,2,no,NA,Message,1,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,0,NA,legacy,english,NA,NA,xpyriment,0,74,11,NA,NA,NA,NA,NA,0,yes,Press,NA,NA,0,NA,response,m,space,m,m,z,15486,8405,15486,23767,3991,NA,NA,NA,30225,NA,NA,legacy,0.0,0,3780,NA,44100,-16,resources/practice,experiment,None,2,even,legacy,3,2,NA,11956254,NA,NA,12155976,12165472,NA,NA,NA,NA,NA,NA,NA,10559992,12169705,12202240,12171903,12164730,12186754,10557813,12175805,12106631,NA,NA,12165713,NA,NA,12131493,NA,12172025,NA,NA,NA,NA,Too,P0010.4,NA,no,200,2,control,1500,1280,NA,NA,NA,NA
no,NA,NA,20000,3,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,dual,relative,INCORRECT,You,1,m,0,0,0,3,0,3,3,3,0,0,0,0,0,0,3,3,3,3,You,1,0,3,0,0,3,5,0,3,How,3,3,3,3,0,NA,3,no,NA,Message,3,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,1,NA,legacy,english,NA,NA,xpyriment,0,93,4,NA,NA,NA,NA,NA,0,yes,Press,NA,NA,0,NA,response,m,space,m,m,m,3501,8405,3501,23767,4402,NA,NA,NA,27674,NA,NA,legacy,1.0,1,20000,NA,44100,-16,resources/practice,experiment,None,2,even,legacy,4,2,NA,11956254,NA,NA,12155976,12203335,NA,NA,NA,NA,NA,NA,NA,10559992,12207989,12237446,12209653,12202589,12233945,10557813,12229782,12106631,NA,NA,12203587,NA,NA,12131493,NA,12209782,NA,NA,NA,NA,Too,P0010.4,NA,no,200,3,control,1500,1280,NA,NA,NA,NA
no,NA,NA,20000,4,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,0,z,0,0,0,4,0,4,4,4,0,0,0,0,0,0,4,4,4,4,You,1,0,4,0,0,4,6,0,,How,4,4,4,4,0,0,4,no,NA,Message,5,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,57,NA,legacy,english,NA,NA,xpyriment,0,84,0,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,m,space,m,m,m,1827,8405,3501,23767,3414,1827,m,NA,21943,NA,NA,legacy,57.0,57,20001,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,5,2,NA,11956254,NA,NA,12155976,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12244291,12272094,12250033,12237795,12233945,10557813,12229782,12106631,NA,NA,12240876,NA,NA,12240686,NA,12250161,NA,12270266,NA,NA,Too,P0010.4,NA,no,200,4,control,1500,1280,741,NA,242,NA
no,NA,NA,20000,5,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,0,z,0,0,0,5,0,5,5,5,0,0,0,0,0,0,5,5,5,5,You,1,0,5,0,0,5,7,0,,How,5,5,5,5,0,1,5,no,NA,Message,4,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,154,NA,legacy,english,NA,NA,xpyriment,0,84,0,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,m,space,m,m,m,1912,8405,3501,23767,3105,1912,m,NA,22027,NA,NA,legacy,154.0,154,19999,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,2,2,NA,11956254,NA,NA,12155976,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12276445,12306946,12284796,12272443,12233945,10557813,12229782,12106631,NA,NA,12273339,NA,NA,12273169,NA,12284928,NA,12305034,NA,NA,Too,P0010.4,NA,no,200,5,control,1500,1280,136,NA,459,NA
no,NA,NA,20000,6,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,0,m,0,0,0,6,0,6,6,6,0,0,0,0,0,0,6,6,6,6,You,1,0,6,0,0,6,8,0,,How,6,6,6,6,0,2,6,no,NA,Message,1,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,99,NA,legacy,english,NA,NA,xpyriment,0,84,3,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,space,space,m,m,space,3188,8405,3501,23767,1622,3188,space,NA,23304,NA,NA,legacy,99.0,99,20001,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,2,2,NA,11956254,NA,NA,12155976,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12309880,12351724,12328283,12307295,12233945,10557813,12229782,12106631,NA,NA,12308258,NA,NA,12308063,NA,12328430,NA,12348536,NA,NA,Too,P0010.4,NA,no,200,6,control,1500,1280,349,NA,443,NA
no,NA,NA,20000,7,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,1,z,0,0,0,7,1,7,7,7,0,0,0,0,0,0,7,7,7,7,You,1,0,7,0,0,7,9,0,,How,7,7,7,7,0,2,7,no,NA,Message,3,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,116,NA,legacy,english,NA,NA,xpyriment,0,55,2,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,space,space,m,m,z,5157,5157,3501,23767,1936,3188,space,NA,16205,NA,NA,legacy,116.0,116,10916,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,3,2,NA,11956254,NA,NA,12383037,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12354931,12388194,12371869,12352073,12233945,10557813,12229782,12106631,NA,NA,12352995,NA,NA,12352822,NA,12371999,NA,12348536,NA,NA,Too,P0010.4,NA,no,200,7,control,1500,1280,1191,NA,694,NA
no,NA,NA,20000,8,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,1,z,0,0,0,8,1,8,8,8,0,0,0,0,0,0,8,8,8,8,You,1,0,8,0,0,8,10,0,,How,8,8,8,8,0,3,8,no,NA,Message,1,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,58,NA,legacy,english,NA,NA,xpyriment,0,82,1,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,m,space,m,m,z,2263,5157,3501,23767,1309,2263,m,NA,22380,NA,NA,legacy,58.0,58,20000,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,2,2,NA,11956254,NA,NA,12383037,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12390776,12417096,12394593,12388543,12233945,10557813,12229782,12106631,NA,NA,12389466,NA,NA,12389294,NA,12394726,NA,12414832,NA,NA,Too,P0010.4,NA,no,200,8,control,1500,1280,1235,NA,140,NA
no,NA,NA,20000,9,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,0,z,0,0,0,9,1,9,9,9,0,0,0,0,0,0,9,9,9,9,You,1,0,9,0,0,9,11,0,,How,9,9,9,9,0,4,9,no,NA,Message,2,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,16,NA,legacy,english,NA,NA,xpyriment,0,81,3,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,m,space,m,m,space,1402,5157,3501,23767,1830,1402,m,NA,21516,NA,NA,legacy,16.0,16,20001,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,4,2,NA,11956254,NA,NA,12383037,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12420186,12457414,12435772,12417445,12233945,10557813,12229782,12106631,NA,NA,12418355,NA,NA,12418183,NA,12435907,NA,12456012,NA,NA,Too,P0010.4,NA,no,200,9,control,1500,1280,345,NA,487,NA
