effect,est,se,t
(Intercept),31.6241746024,0.432652020146,73.0937869924
trialId,0.011047926154,0.00117570692144,9.39683687535
saccNr,-0.0420533646084,0.00319113651926,-13.1781778544
lumFrom,-5.38508995971,0.310649658579,-17.3349295935
eccFrom,-0.0141259864563,0.000357760580374,-39.4844687516
fromX,-0.00421414455602,0.000179428008412,-23.4865481333
fromY,-0.0128916562358,0.000239584114673,-53.8084766319
iSacc,0.0081356387997,0.000618254633623,13.1590421766
size,-0.00279314605627,0.000321985707939,-8.67475166569
pupilSize,0.672916552635,0.177957003794,3.78134346099
